Имя,Предмет,Пол преподавателя,Район,Ставка,Продолжительность,Ученик
Надежда,английский язык,Любой,Новокосино,525,45,взрослый
Лариса Вячеславовна,русский язык,Любой,Первомайская,1900,90,9 - 11
Зоя,физика,М,Водный стадион,1900,90,дошкольник
Юлия,английский язык,Любой,Перово,1350,90,взрослый
Алексей,вокал,М,Алтуфьево,1050,60,взрослый
Эльвира,высшая математика,М,Водный стадион,2200,90,9 - 11
Кирилл,русский язык,Ж,Люберцы,900,60,взрослый
Евгений,сольфеджио,М,Савеловская,1000,60,взрослый
Ольга,русский язык,Ж,Реутов,500,60,5 - 9
Ксения,математика,Любой,Новые Черемушки,500,45,9 - 11
Элина,логопеды,Любой,Рязанский проспект,1300,45,дошкольник
Вячеслав,роспись по дереву,Любой,Ленинский проспект,1200,90,взрослый
Александр Дмитриевич,румынский язык,Ж,Петровско-Разумовская,1200,60,взрослый
Элеонора,математика,Любой,Москва (Скайп),1400,60,
Виктория,английский язык,Ж,Юго-Западная,850,60,5 - 9
Лана,английский язык,Любой,Перово,2500,90,взрослый
Андрей,испанский язык,Ж,Маяковская,700,60,взрослый
Анна Сергеевна,биология,Любой,Москва (Скайп),1400,120,студент
Людмила,логопеды,М,Аннино,500,45,дошкольник
Ирина,рисование,Любой,Домодедово,800,90,взрослый
Анастасия,испанский язык,Ж,Киевская,900,60,9 - 11
Лия,фортепиано,Ж,Балашиха,450,45,1 - 4
Юлия,подготовка к школе,Любой,Красногорск,2200,90,дошкольник
Анастасия,логопеды,Любой,Водный стадион,1300,45,дошкольник
Игорь,английский язык,Любой,Октябрьское Поле,1900,90,студент
Мария,английский язык,Любой,Молодежная (Рублёвское шоссе),2300,90,взрослый
Виктория,менеджмент,Любой,Славянский бульвар,2300,90,студент
Галина Петровна,математика,Ж,Старая Купавна,410,45,5 - 9
Ывп,английский язык,Любой,Москва (Скайп),1100,90,студент
Майя,русский язык,Ж,Москва (Скайп),1150,60,5 - 9
_olya_89,английский язык,Любой,Академическая,1400,90,взрослый
Артём,математический анализ,Любой,Бауманская,2300,90,студент
Мария,биология,Ж,Москва (Скайп),0,60,5 - 9
Лола,английский язык,Ж,Аэропорт,850,45,1 - 4
Юлия,Adobe Premiere,Любой,Дмитровская,2300,90,взрослый
Елена,русский язык,Ж,Зеленоград,500,45,1 - 4
2 ученика,физика,Любой,Троицк (Красная Пахра),2600,120,
Tim,английский язык,Любой,Октябрьское Поле,1900,90,студент
Полина,биология,Любой,Москва (Скайп),550,60,9 - 11
Анастасия,классическая гитара,М,Молодежная,1100,60,студент
Вероника,испанский язык,Ж,Москва (Скайп),900,60,студент
Денис,вокал,Любой,Новогиреево,1300,60,студент
Анна,история,Ж,Красногорск,850,45,9 - 11
Анна,обществознание,Ж,Беговая (ул. Беговая 26),2000,90,
Анна,обществознание,Любой,Москва (Скайп),800,90,взрослый
Юлия,математика,Ж,Сходненская,1100,120,студент
Артём,английский язык,Любой,Ногинск,1200,120,взрослый
Алла,английский язык,М,Подольск,1000,60,взрослый
Татьяна,физика,Любой,Подольск,1300,90,9 - 11
Татьяна,математика,Любой,Белорусская,1900,90,9 - 11
Антон,английский язык,Любой,Речной вокзал,3400,90,студент
Лариса,испанский язык,Любой,Мякинино,900,60,
Деннис,археология,Любой,Юго-Западная,1000,90,взрослый
Константин,рок-вокал,Любой,Курская,800,60,студент
Ирина,1С,Любой,Нахимовский пр ( ул. Каширское шоссе,1500,90,взрослый
Алёна,химия,Ж,Воскресенск,1100,60,9 - 11
Vlada Shuken,английский язык,М,Москва (Скайп),400,60,взрослый
Святослав,Swift,Любой,Москва (Скайп),2200,90,взрослый
Светлана Борисовна,сценическая речь,Ж,Бульвар адмирала Ушакова,1100,60,1 - 4
Bo,английский язык,Любой,Александровский сад,1000,90,взрослый
Тарана,биология,Ж,Бунинская аллея,1700,60,9 - 11
Екатерина,английский язык,Любой,Ул. Академика Янгеля,2500,90,1 - 4
Александр,физика,Любой,Бабушкинская,1700,90,9 - 11
Алиса,подготовка к школе,Любой,Калужская,750,45,
Светлана,английский язык,Любой,Москва (Скайп),1400,60,взрослый
Анна,английский язык,Любой,Юго-Западная (Академика Анохина,1500,60,1 - 4
Соня,химия,Любой,Раменки,1900,90,9 - 11
Маргарита,история,Любой,Выхино,1000,60,студент
Вячеслав,Python,Ж,Юго-Западная,680,60,9 - 11
Анна,русский язык,Любой,Речной вокзал,750,60,студент
девочка,программирование,Ж,Юго-Западная,600,60,
Анна,русский язык,Любой,Сходненская,750,60,студент
Ольга,математика,Любой,Петровско-Разумовская,1200,90,9 - 11
Альбина,бухгалтерский учёт,Ж,Новослободская,1600,60,студент
Альбина,английский язык,Ж,Юго-Западная,900,60,взрослый
Кристина,русский язык,Ж,Домодедовская,560,45,1 - 4
Георгий,вокал,Любой,Домодедово,900,60,студент
Алексей,шахматы,Любой,Сокол,1600,60,
Акабир,математика,Любой,Марьино,1100,60,
Елена,информатика,Любой,Преображенская площадь,1100,60,5 - 9
